feature,extra_trees_importance
hist_g_6,0.0674348841648467
vegetation_coverage_exg,0.06444265674192276
hist_exg_3,0.049958900242220716
green_pixel_ratio,0.04063674320804621
hist_gray_6,0.03982569832834845
hist_b_6,0.03966476741139246
exg_mean,0.0355992203140812
hist_exg_6,0.0345853984869959
texture_laplacian_var,0.03021837473579455
hist_exg_5,0.029687433946648807
hist_b_7,0.029336263885293014
hist_g_7,0.02323007975007217
saturation_std,0.021350852383193373
hist_b_5,0.020965592963872095
texture_sobel_mean,0.02053579532898258
gray_entropy,0.019541257049721105
hist_exg_7,0.01948377327084013
hist_b_2,0.018139463077393114
hist_g_3,0.01810302484490326
hist_g_0,0.01798818852186441
hist_exg_4,0.017724369653832617
saturation_mean,0.017200210836878723
hist_g_2,0.016955623428337126
exg_std,0.015346268291882239
hist_gray_3,0.015238523747834545
hist_r_2,0.015033807837763629
hist_r_5,0.015007825357097602
hist_r_6,0.0146062049831822
hist_gray_7,0.014421701330203075
hist_gray_2,0.014121132240268165
hist_b_4,0.013746153095948949
hist_r_7,0.013451852932643877
hist_r_0,0.012985456562295971
brightness_std,0.012233073039279254
hist_b_1,0.011955731379123659
hist_gray_0,0.011683840412906554
hist_b_0,0.011503798268018608
hist_gray_1,0.010933362046640643
hist_r_1,0.010607313417121234
hist_g_5,0.00994955758369787
brightness_mean,0.009778416274687519
hist_r_3,0.009460168838430962
hist_gray_5,0.009327899603619887
hist_g_4,0.009310519395449293
hist_g_1,0.008759948551017483
hist_r_4,0.008540963047710253
hist_b_3,0.008385511605959312
hist_gray_4,0.00790458430398392
hist_exg_2,0.006465692120796692
hist_exg_1,0.0037145895165226765
hist_exg_0,0.002917531640432452
height,0.0
aspect_ratio,0.0
width,0.0
