model,ndvi_r2,height_r2,mean_r2,runtime_sec,feature_set
ridge,0.9076410185825909,0.8926975984223544,0.9001693085024727,0.37897825241088867,all_embeddings
ridge,0.8603981209945619,0.9047451060449875,0.8825716135197748,0.20736098289489746,dinov2_large
lightgbm,0.8025700686537954,0.8719677002014349,0.8372688844276152,73.43582367897034,all_embeddings
ridge,0.8621980382867429,0.7686896223239433,0.8154438303053431,0.1694791316986084,siglip_base
ridge,0.8130117921595392,0.7933741626449519,0.8031929774022455,0.23061895370483398,convnextv2_base
lightgbm,0.8115036448020839,0.7864951157620163,0.7989993802820501,22.42298197746277,siglip_base
lightgbm,0.7217324304158208,0.8571594717021447,0.7894459510589827,28.29193425178528,dinov2_large
lightgbm,0.8760854353784852,0.6080334319658531,0.7420594336721691,3.5651988983154297,handcrafted_image
lightgbm,0.7181270195438163,0.6909364581665154,0.7045317388551658,25.545578956604004,convnextv2_base
extratrees,0.7284782376974559,0.6345012679308151,0.6814897528141355,3.4487149715423584,handcrafted_image
extratrees,0.49427053064734117,0.8636000774700714,0.6789353040587063,76.68412184715271,all_embeddings
extratrees,0.5366032160578427,0.8091318618508087,0.6728675389543257,23.31805157661438,siglip_base
extratrees,0.43442511687242047,0.8649497811018882,0.6496874489871544,30.618462085723877,dinov2_large
extratrees,0.46684152111532606,0.7574081867219168,0.6121248539186215,29.700294733047485,convnextv2_base
ridge,0.8587408312761405,-1.4506158505407765,-0.29593750963231796,0.06656622886657715,handcrafted_image
